,state,target_variable,num_datapoints,model_embeddings,trial,val_MAE,test_MAE_BG,train_MAE_BG,val_MAE_BG
563,TN,Commute Time,1409,Emb,3,0.2857968329767691,0.25110367791563015,0.013519356893341944,0.2616082903314462
564,TN,Commute Time,1409,Emb,4,0.2857968329767691,0.25110367791563015,0.013519356893341944,0.2616082903314462
565,TN,Commute Time,1409,Emb,5,0.2857968329767691,0.25110367791563015,0.013519356893341944,0.2616082903314462
566,TN,Commute Time,1409,Emb,6,0.2857968329767691,0.25110367791563015,0.013519356893341944,0.2616082903314462
567,TN,Commute Time,1409,Emb,7,0.2857968329767691,0.25110367791563015,0.013519356893341944,0.2616082903314462
568,TN,Commute Time,1409,Emb,8,0.2857968329767691,0.25110367791563015,0.013519356893341944,0.2616082903314462
569,TN,Commute Time,1409,Emb,9,0.2857968329767691,0.25110367791563015,0.013519356893341944,0.2616082903314462
570,TN,Commute Time,1409,LightGCN,0,0.23813361537422026,0.21340704140822064,0.015470127525440695,0.2552298821606448
571,TN,Commute Time,1409,LightGCN,1,0.23813361537422026,0.21340704140822064,0.015470127525440695,0.2552298821606448
572,TN,Commute Time,1409,LightGCN,2,0.23813361537422026,0.21340704140822064,0.015470127525440695,0.2552298821606448
573,TN,Commute Time,1409,LightGCN,3,0.23813361537422026,0.21340704140822064,0.015470127525440695,0.2552298821606448
574,TN,Commute Time,1409,LightGCN,4,0.23813361537422026,0.21340704140822064,0.015470127525440695,0.2552298821606448
575,TN,Commute Time,1409,LightGCN,5,0.23813361537422026,0.21340704140822064,0.015470127525440695,0.2552298821606448
576,TN,Commute Time,1409,LightGCN,6,0.23813361537422026,0.21340704140822064,0.015470127525440695,0.2552298821606448
577,TN,Commute Time,1409,LightGCN,7,0.23813361537422026,0.21340704140822064,0.015470127525440695,0.2552298821606448
578,TN,Commute Time,1409,LightGCN,8,0.23813361537422026,0.21340704140822064,0.015470127525440695,0.2552298821606448
579,TN,Commute Time,1409,LightGCN,9,0.23813361537422026,0.21340704140822064,0.015470127525440695,0.2552298821606448
580,TN,Commute Time,1409,RGNN,0,0.24862536097810747,0.21737058622286592,0.014017896361686603,0.2631368285886246
581,TN,Commute Time,1409,RGNN,1,0.24862536097810747,0.21737058622286592,0.014017896361686603,0.2631368285886246
582,TN,Commute Time,1409,RGNN,2,0.24862536097810747,0.21737058622286592,0.014017896361686603,0.2631368285886246
583,TN,Commute Time,1409,RGNN,3,0.24862536097810747,0.21737058622286592,0.014017896361686603,0.2631368285886246
584,TN,Commute Time,1409,RGNN,4,0.24862536097810747,0.21737058622286592,0.014017896361686603,0.2631368285886246
585,TN,Commute Time,1409,RGNN,5,0.24862536097810747,0.21737058622286592,0.014017896361686603,0.2631368285886246
586,TN,Commute Time,1409,RGNN,6,0.24862536097810747,0.21737058622286592,0.014017896361686603,0.2631368285886246
587,TN,Commute Time,1409,RGNN,7,0.24862536097810747,0.21737058622286592,0.014017896361686603,0.2631368285886246
588,TN,Commute Time,1409,RGNN,8,0.24862536097810747,0.21737058622286592,0.014017896361686603,0.2631368285886246
589,TN,Commute Time,1409,RGNN,9,0.24862536097810747,0.21737058622286592,0.014017896361686603,0.2631368285886246
