,urban_area,target_variable,macroentity,num_datapoints,num_macroentities,num_bg,model_embeddings,trial,train_r2,val_r2,test_r2,train_to_test_r2,train_mae,val_mae,test_mae,train_to_test_mae
303,St. Louis,Median Income,zip,2397,43,246,Feat\&PC-RGNN,3,0.9997893571853638,-1.537205696105957,0.16578829288482666,0.3296397924423218,0.0173936877399683,0.8640854954719543,1.0704923868179321,0.8545359373092651
304,St. Louis,Median Income,zip,2397,43,246,Feat\&PC-RGNN,4,0.9999445676803589,-2.221303701400757,0.1783992052078247,0.3296397924423218,0.009171881712973118,0.9555497765541077,1.079095721244812,0.8545359373092651
305,St. Louis,Median Income,zip,2397,43,246,Feat\&PC-RGNN,5,0.9996469020843506,-4.07880973815918,0.0014085769653320312,0.3296397924423218,0.0205894373357296,1.225493311882019,1.2203940153121948,0.8545359373092651
306,St. Louis,Median Income,zip,2397,43,246,Feat\&PC-RGNN,6,0.986650288105011,-2.3205089569091797,0.14917337894439697,0.3296397924423218,0.17482256889343262,1.0257713794708252,1.1304843425750732,0.8545359373092651
307,St. Louis,Median Income,zip,2397,43,246,Feat\&PC-RGNN,7,0.998855710029602,-2.392906427383423,0.17722773551940918,0.3296397924423218,0.04517928510904312,1.011723279953003,1.0712980031967163,0.8545359373092651
308,St. Louis,Median Income,zip,2397,43,246,Feat\&PC-RGNN,8,0.9760884046554565,-4.2761921882629395,-0.003321409225463867,0.3296397924423218,0.2253519594669342,1.2851529121398926,1.190445899963379,0.8545359373092651
309,St. Louis,Median Income,zip,2397,43,246,Feat\&PC-RGNN,9,0.9999385476112366,-2.581536293029785,0.16664022207260132,0.3296397924423218,0.011276698671281338,1.0172839164733887,1.0775524377822876,0.8545359373092651
310,St. Louis,Median Income,zip,2397,43,246,NoPreTrain,0,0.9999411106109619,-9.171741485595703,0.04002201557159424,0.3296397924423218,0.008198888972401619,1.0928953886032104,1.157515525817871,0.8545359373092651
311,St. Louis,Median Income,zip,2397,43,246,NoPreTrain,1,0.9999845027923584,-0.3311026096343994,0.055556297302246094,0.3296397924423218,0.0036004334688186646,0.5541226863861084,1.1000295877456665,0.8545359373092651
312,St. Louis,Median Income,zip,2397,43,246,NoPreTrain,2,0.9999110102653503,-1.544752836227417,0.08507704734802246,0.3296397924423218,0.012378137558698654,0.7461386919021606,1.1611881256103516,0.8545359373092651
313,St. Louis,Median Income,zip,2397,43,246,NoPreTrain,3,0.9999459385871887,-3.237159252166748,0.17630153894424438,0.3296397924423218,0.006945613771677017,1.0631262063980103,1.1312938928604126,0.8545359373092651
314,St. Louis,Median Income,zip,2397,43,246,NoPreTrain,4,0.999955415725708,-0.6121132373809814,0.09390139579772949,0.3296397924423218,0.007309381850063801,0.636728823184967,1.1798298358917236,0.8545359373092651
315,St. Louis,Median Income,zip,2397,43,246,NoPreTrain,5,0.999939501285553,-0.8313232660293579,0.19405019283294678,0.3296397924423218,0.0076067387126386166,0.7047573924064636,1.011853575706482,0.8545359373092651
316,St. Louis,Median Income,zip,2397,43,246,NoPreTrain,6,0.9998994469642639,-1.5944199562072754,0.12871652841567993,0.3296397924423218,0.012039256282150745,0.657974898815155,1.104033350944519,0.8545359373092651
317,St. Louis,Median Income,zip,2397,43,246,NoPreTrain,7,0.9999107718467712,-3.840749740600586,0.13782787322998047,0.3296397924423218,0.008846263401210308,0.9998086094856262,1.1119565963745117,0.8545359373092651
318,St. Louis,Median Income,zip,2397,43,246,NoPreTrain,8,0.9987955093383789,0.40641963481903076,0.1884811520576477,0.3296397924423218,0.050999969244003296,0.4028364419937134,1.1017613410949707,0.8545359373092651
319,St. Louis,Median Income,zip,2397,43,246,NoPreTrain,9,0.9992838501930237,-0.9687104225158691,0.1394374966621399,0.3296397924423218,0.0393996387720108,0.769686222076416,1.1663885116577148,0.8545359373092651
320,St. Louis,Median Home Value,zip,2352,43,241,Emb,0,0.9999836087226868,-1.796140432357788,-0.20261812210083008,0.5351871252059937,0.005119324196130037,0.8342612385749817,1.09429132938385,0.5841450095176697
321,St. Louis,Median Home Value,zip,2352,43,241,Emb,1,0.9999777674674988,-1.6227567195892334,-0.23049259185791016,0.5351871252059937,0.005928082391619682,0.844309389591217,1.0785759687423706,0.5841450095176697
322,St. Louis,Median Home Value,zip,2352,43,241,Emb,2,0.9999837875366211,-1.887711524963379,-0.1612706184387207,0.5351871252059937,0.005476509220898151,0.9513362050056458,1.1271826028823853,0.5841450095176697
323,St. Louis,Median Home Value,zip,2352,43,241,Emb,3,0.9999831914901733,-1.3836877346038818,-0.04093945026397705,0.5351871252059937,0.005503274966031313,0.8147525787353516,1.0752427577972412,0.5841450095176697
324,St. Louis,Median Home Value,zip,2352,43,241,Emb,4,0.996550977230072,-2.1997601985931396,-0.11052381992340088,0.5351871252059937,0.09054336696863174,0.9697045087814331,1.1513874530792236,0.5841450095176697
325,St. Louis,Median Home Value,zip,2352,43,241,Emb,5,0.9999790191650391,-2.8506240844726562,-0.15118658542633057,0.5351871252059937,0.005868327803909779,1.0009894371032715,1.1814947128295898,0.5841450095176697
326,St. Louis,Median Home Value,zip,2352,43,241,Emb,6,0.9999901652336121,-0.9994504451751709,-0.217323899269104,0.5351871252059937,0.00424013938754797,0.7727628946304321,1.1127815246582031,0.5841450095176697
327,St. Louis,Median Home Value,zip,2352,43,241,Emb,7,0.9999874830245972,-1.957139492034912,-0.30363941192626953,0.5351871252059937,0.00439459877088666,0.7927165031433105,1.1747219562530518,0.5841450095176697
328,St. Louis,Median Home Value,zip,2352,43,241,Emb,8,0.9999615550041199,-2.247650146484375,-0.21583032608032227,0.5351871252059937,0.007239709608256817,0.9410939812660217,1.164584755897522,0.5841450095176697
329,St. Louis,Median Home Value,zip,2352,43,241,Emb,9,0.9999854564666748,-1.3492345809936523,-0.1920262575149536,0.5351871252059937,0.004860129673033953,0.8209487795829773,1.053323745727539,0.5841450095176697
330,St. Louis,Median Home Value,zip,2352,43,241,LightGCN,0,0.9980306625366211,-0.017738699913024902,0.288677453994751,0.5351871252059937,0.0623544380068779,0.7384679317474365,0.9129400849342346,0.5841450095176697
331,St. Louis,Median Home Value,zip,2352,43,241,LightGCN,1,0.9994835257530212,-0.2794055938720703,0.18551045656204224,0.5351871252059937,0.02866964042186737,0.8319656848907471,0.988355278968811,0.5841450095176697
332,St. Louis,Median Home Value,zip,2352,43,241,LightGCN,2,0.9999497532844543,0.12391167879104614,0.22403192520141602,0.5351871252059937,0.00924012716859579,0.6235105991363525,0.9699782729148865,0.5841450095176697
