,urban_area,target_variable,target_entity,num_datapoints,num_entities,model_embeddings,trial,train_r2,val_r2,test_r2,train_mse,val_mse,test_mse
3673,St. Louis,Median Home Value,zip,2670,54,NoPreTrain,3,0.9999158382415771,-0.46384263038635254,-0.28638625144958496,0.00013750014477409422,2.514340877532959,3.330551862716675
3674,St. Louis,Median Home Value,zip,2670,54,NoPreTrain,4,0.9998399019241333,-0.10619139671325684,-0.09910404682159424,0.00026155656087212265,1.900028109550476,2.8456637859344482
3675,St. Louis,Median Home Value,zip,2670,54,NoPreTrain,5,0.9999518394470215,0.25601595640182495,0.39391422271728516,7.865781662985682e-05,1.2778897285461426,1.5692020654678345
3676,St. Louis,Median Home Value,zip,2670,54,NoPreTrain,6,0.9992303848266602,-0.5480573177337646,-0.9830315113067627,0.0012575977016240358,2.6589906215667725,5.134219169616699
3677,St. Louis,Median Home Value,zip,2670,54,NoPreTrain,7,0.9998056888580322,-5.156704902648926,-1.315141201019287,0.0003175185702275485,10.574944496154785,5.994076251983643
3678,St. Louis,Median Home Value,zip,2670,54,NoPreTrain,8,0.9934347867965698,-1.3915491104125977,-7.949063301086426,0.01072775200009346,4.107797622680664,23.169803619384766
3679,St. Louis,Median Home Value,zip,2670,54,NoPreTrain,9,0.9999898076057434,0.36137545108795166,0.35615789890289307,1.6695019439794123e-05,1.0969210863113403,1.6669560670852661
3680,St. Louis,Commute Time,zip,2670,54,Emb,0,0.9993401169776917,-0.7882158756256104,-0.009586215019226074,0.0010702251456677914,1.466783046722412,3.380706787109375
3681,St. Louis,Commute Time,zip,2670,54,Emb,1,0.9999803900718689,-1.4323573112487793,0.029142558574676514,3.183227818226442e-05,1.9951395988464355,3.2510194778442383
3682,St. Louis,Commute Time,zip,2670,54,Emb,2,0.9999781250953674,-1.5087106227874756,-0.06796503067016602,3.551478584995493e-05,2.0577683448791504,3.5761945247650146
3683,St. Louis,Commute Time,zip,2670,54,Emb,3,0.9999209642410278,-0.4346569776535034,-0.36558711528778076,0.000128199317259714,1.1767765283584595,4.572813987731934
3684,St. Louis,Commute Time,zip,2670,54,Emb,4,0.999923050403595,-0.6541002988815308,-0.12796592712402344,0.00012475709081627429,1.3567748069763184,3.777113914489746
3685,St. Louis,Commute Time,zip,2670,54,Emb,5,0.9999774098396301,-1.459242820739746,-0.024123430252075195,3.6656329029938206e-05,2.0171926021575928,3.4293863773345947
3686,St. Louis,Commute Time,zip,2670,54,Emb,6,0.999984860420227,-1.0872724056243896,-0.05457019805908203,2.4521905288565904e-05,1.7120839357376099,3.5313405990600586
3687,St. Louis,Commute Time,zip,2670,54,Emb,7,0.9999929666519165,-0.7288632392883301,-0.06029713153839111,1.1399395589251071e-05,1.4180989265441895,3.5505177974700928
3688,St. Louis,Commute Time,zip,2670,54,Emb,8,0.9999861717224121,-1.4223670959472656,0.027534127235412598,2.2470041585620493e-05,1.9869450330734253,3.2564055919647217
3689,St. Louis,Commute Time,zip,2670,54,Emb,9,0.9999668002128601,-1.9178338050842285,0.02637392282485962,5.3879895858699456e-05,2.3933515548706055,3.2602906227111816
3690,St. Louis,Commute Time,zip,2670,54,RGNN,0,0.9968019723892212,-0.8295327425003052,-0.0371319055557251,0.005186478607356548,1.5006731748580933,3.4729464054107666
3691,St. Louis,Commute Time,zip,2670,54,RGNN,1,0.9842731356620789,-1.0583841800689697,0.07118719816207886,0.025505589321255684,1.6883883476257324,3.1102285385131836
3692,St. Louis,Commute Time,zip,2670,54,RGNN,2,0.994016706943512,-0.8963847160339355,0.1385849118232727,0.009703660383820534,1.5555083751678467,2.88454008102417
3693,St. Louis,Commute Time,zip,2670,54,RGNN,3,0.998925507068634,-1.0191853046417236,0.013746678829193115,0.001742619089782238,1.6562354564666748,3.3025741577148438
3694,St. Louis,Commute Time,zip,2670,54,RGNN,4,0.9901530146598816,-1.8066909313201904,-0.05241990089416504,0.01596965454518795,2.3021864891052246,3.5241401195526123
3695,St. Louis,Commute Time,zip,2670,54,RGNN,5,0.9976906776428223,-0.880685567855835,-0.05943441390991211,0.003745202673599124,1.5426311492919922,3.547628879547119
3696,St. Louis,Commute Time,zip,2670,54,RGNN,6,0.9956142902374268,-0.7179273366928101,-0.15745937824249268,0.007112635765224695,1.4091289043426514,3.875875949859619
3697,St. Louis,Commute Time,zip,2670,54,RGNN,7,0.9939302802085876,-0.7816708087921143,0.12386119365692139,0.009843757376074791,1.4614143371582031,2.9338440895080566
3698,St. Louis,Commute Time,zip,2670,54,RGNN,8,0.9896093606948853,-0.9593364000320435,-0.03709566593170166,0.016851376742124557,1.6071444749832153,3.472825050354004
3699,St. Louis,Commute Time,zip,2670,54,RGNN,9,0.9891629219055176,-1.0445208549499512,-0.09143197536468506,0.017575394362211227,1.677017092704773,3.654776096343994
3700,St. Louis,Commute Time,zip,2670,54,Feat-RGNN,0,0.9830337166786194,-1.1819877624511719,-0.00923764705657959,0.027515694499015808,1.7897740602493286,3.379539728164673
3701,St. Louis,Commute Time,zip,2670,54,Feat-RGNN,1,0.9900959730148315,-0.9985382556915283,-0.047714829444885254,0.01606224663555622,1.639299750328064,3.5083847045898438
3702,St. Louis,Commute Time,zip,2670,54,Feat-RGNN,2,0.9963867664337158,-1.5900919437408447,-0.12203407287597656,0.005859874188899994,2.124521255493164,3.7572503089904785
3703,St. Louis,Commute Time,zip,2670,54,Feat-RGNN,3,0.9879544973373413,-1.0873916149139404,0.02810227870941162,0.019535232335329056,1.712181568145752,3.254503011703491
3704,St. Louis,Commute Time,zip,2670,54,Feat-RGNN,4,0.9908066987991333,-0.9990254640579224,0.053075969219207764,0.014909576624631882,1.6396994590759277,3.1708757877349854
3705,St. Louis,Commute Time,zip,2670,54,Feat-RGNN,5,0.9937019944190979,-1.6888396739959717,0.05635249614715576,0.010213974863290787,2.205518960952759,3.1599042415618896
3706,St. Louis,Commute Time,zip,2670,54,Feat-RGNN,6,0.9854539036750793,-0.803779125213623,-0.10795700550079346,0.02359064295887947,1.479548692703247,3.7101120948791504
3707,St. Louis,Commute Time,zip,2670,54,Feat-RGNN,7,0.9850435853004456,-0.7931019067764282,0.11862069368362427,0.024256117641925812,1.4707907438278198,2.951392412185669
3708,St. Louis,Commute Time,zip,2670,54,Feat-RGNN,8,0.971351683139801,-0.4833080768585205,-0.04083108901977539,0.04646138846874237,1.2166825532913208,3.4853334426879883
