,state,target_variable,num_datapoints,model_embeddings,trial,val_ROCAUC,train_ROCAUC_tract,test_ROCAUC_BG,train_to_test_ROCAUC_BG
108,MO,Median Home Value,9292,Feat-LightGCN,8,0.7096489012376863,0.9989212513484358,0.9067725153920804,0.8912292982484051
109,MO,Median Home Value,9292,Feat-LightGCN,9,0.6968493534134317,0.9983219465420112,0.9013952304437055,0.8912292982484051
110,MO,Median Home Value,9292,Feat-RGNN,0,0.6499632499126433,0.9998801390387151,0.8951111252525573,0.8912292982484051
111,MO,Median Home Value,9292,Feat-RGNN,1,0.6380254204459908,0.9995804866355028,0.900392955438535,0.8912292982484051
112,MO,Median Home Value,9292,Feat-RGNN,2,0.6535534878063614,1.0,0.8897815676853811,0.8912292982484051
113,MO,Median Home Value,9292,Feat-RGNN,3,0.6631959036784774,1.0,0.9013872758801725,0.8912292982484051
114,MO,Median Home Value,9292,Feat-RGNN,4,0.6610084572045217,0.9999400695193575,0.8916986174968581,0.8912292982484051
115,MO,Median Home Value,9292,Feat-RGNN,5,0.6652194992410898,1.0,0.9064384237236902,0.8912292982484051
116,MO,Median Home Value,9292,Feat-RGNN,6,0.6635639009905809,1.0,0.8911974799942728,0.8912292982484051
117,MO,Median Home Value,9292,Feat-RGNN,7,0.656446924633593,0.9991609732710056,0.8931065752422164,0.8912292982484051
118,MO,Median Home Value,9292,Feat-RGNN,8,0.6647313535164002,0.9994006951935754,0.8916190718615269,0.8912292982484051
119,MO,Median Home Value,9292,Feat-RGNN,9,0.6585180752255634,0.9999400695193575,0.892915665717422,0.8912292982484051
120,MO,Median Home Value,9292,Feat\&BG-LightGCN,0,0.9689684672201269,1.0,0.909142975324944,0.8912292982484051
121,MO,Median Home Value,9292,Feat\&BG-LightGCN,1,0.9744017034671111,0.9991010427903632,0.9082759278998362,0.8912292982484051
122,MO,Median Home Value,9292,Feat\&BG-LightGCN,2,0.9758353098582984,1.0,0.9043145552603529,0.8912292982484051
123,MO,Median Home Value,9292,Feat\&BG-LightGCN,3,0.9659758954665121,0.9998202085580726,0.9068281973368121,0.8912292982484051
124,MO,Median Home Value,9292,Feat\&BG-LightGCN,4,0.9746970364856955,1.0,0.9071861526958017,0.8912292982484051
125,MO,Median Home Value,9292,Feat\&BG-LightGCN,5,0.9804644579091111,1.0,0.9138998043177372,0.8912292982484051
126,MO,Median Home Value,9292,Feat\&BG-LightGCN,6,0.9763027234891815,1.0,0.9047838745088057,0.8912292982484051
127,MO,Median Home Value,9292,Feat\&BG-LightGCN,7,0.9736935058563807,1.0,0.9088645656012855,0.8912292982484051
128,MO,Median Home Value,9292,Feat\&BG-LightGCN,8,0.9729645533383852,0.9999400695193575,0.9088645656012855,0.8912292982484051
129,MO,Median Home Value,9292,Feat\&BG-LightGCN,9,0.9776379260002848,1.0,0.9073213802758642,0.8912292982484051
130,MO,Median Home Value,9292,Feat\&BG-RGNN,0,0.6481980407986215,0.9998202085580726,0.9053088757019903,0.8912292982484051
131,MO,Median Home Value,9292,Feat\&BG-RGNN,1,0.6514519182277315,0.9968236845259498,0.9052372846301923,0.8912292982484051
132,MO,Median Home Value,9292,Feat\&BG-RGNN,2,0.6655598126862494,0.9998202085580726,0.9009975022670508,0.8912292982484051
133,MO,Median Home Value,9292,Feat\&BG-RGNN,3,0.6666666666666667,0.9997003475967877,0.9141304866601969,0.8912292982484051
134,MO,Median Home Value,9292,Feat\&BG-RGNN,4,0.6521815059171527,0.9997602780774302,0.8894077031993254,0.8912292982484051
135,MO,Median Home Value,9292,Feat\&BG-RGNN,5,0.7035353276957148,0.9999400695193575,0.9156020809138203,0.8912292982484051
136,MO,Median Home Value,9292,Feat\&BG-RGNN,6,0.6564825857327135,1.0,0.8929952113527532,0.8912292982484051
137,MO,Median Home Value,9292,Feat\&BG-RGNN,7,0.6660759183172871,0.9968836150065924,0.8953736258491497,0.8912292982484051
138,MO,Median Home Value,9292,Feat\&BG-RGNN,8,0.6709017428643597,0.9999400695193575,0.8982054504669329,0.8912292982484051
139,MO,Median Home Value,9292,Feat\&BG-RGNN,9,0.6576964192207178,0.997243197890447,0.8996054536487583,0.8912292982484051
140,MO,Commute Time,9292,Emb,0,0.5542585564020182,1.0,0.8274695534506089,0.857916102841678
141,MO,Commute Time,9292,Emb,1,0.5469063180827887,1.0,0.8328822733423544,0.857916102841678
142,MO,Commute Time,9292,Emb,2,0.5419747444744016,1.0,0.7848443843031123,0.857916102841678
143,MO,Commute Time,9292,Emb,3,0.5436519711424623,0.9999253508510003,0.8788903924221921,0.857916102841678
144,MO,Commute Time,9292,Emb,4,0.5458242695088393,1.0,0.8626522327469552,0.857916102841678
145,MO,Commute Time,9292,Emb,5,0.5521811551793995,0.9996267542550016,0.8572395128552097,0.857916102841678
146,MO,Commute Time,9292,Emb,6,0.565067080388851,1.0,0.8288227334235453,0.857916102841678
147,MO,Commute Time,9292,Emb,7,0.5561853448925289,1.0,0.9133964817320703,0.857916102841678
148,MO,Commute Time,9292,Emb,8,0.5495280021784514,0.9999253508510003,0.8464140730717186,0.857916102841678
149,MO,Commute Time,9292,Emb,9,0.5149053318107295,1.0,0.8294993234100135,0.857916102841678
150,MO,Commute Time,9292,LightGCN,0,0.6544566711265234,0.9999253508510003,0.8227334235453315,0.857916102841678
151,MO,Commute Time,9292,LightGCN,1,0.6548568316215375,1.0,0.8017591339648173,0.857916102841678
152,MO,Commute Time,9292,LightGCN,2,0.6631068256942223,0.9998507017020005,0.8558863328822733,0.857916102841678
153,MO,Commute Time,9292,LightGCN,3,0.6532239935978708,0.9992535085100029,0.861299052774019,0.857916102841678
154,MO,Commute Time,9292,LightGCN,4,0.6494067176971363,0.9976858763810093,0.8694181326116374,0.857916102841678
155,MO,Commute Time,9292,LightGCN,5,0.6638304896532061,0.9996267542550015,0.8964817320703654,0.857916102841678
156,MO,Commute Time,9292,LightGCN,6,0.6411161829943441,0.9998507017020005,0.8328822733423545,0.857916102841678
157,MO,Commute Time,9292,LightGCN,7,0.6326038022401216,0.9998507017020005,0.8349120433017592,0.857916102841678
