,urban_area,target_variable,target_entity,num_datapoints,model_embeddings,trial,train_f1,val_f1,test_f1,train_score,val_score,test_score
106,Philadelphia,Median Home Value,bg,29566,Feat-RGNN,6,0.8688235294117647,0.7852112676056338,0.8133802816901409,0.9431709342560554,0.8785955167625472,0.8949241221979767
107,Philadelphia,Median Home Value,bg,29566,Feat-RGNN,7,0.8429411764705882,0.801056338028169,0.7992957746478874,0.9371570934256055,0.8931883554850228,0.8932503471533425
108,Philadelphia,Median Home Value,bg,29566,Feat-RGNN,8,0.8588235294117647,0.795774647887324,0.7852112676056338,0.9321425605536332,0.8883158103550883,0.8764258083713549
109,Philadelphia,Median Home Value,bg,29566,Feat-RGNN,9,0.87,0.7834507042253521,0.7799295774647887,0.9379003460207613,0.8795005951200159,0.8713920849037889
110,Philadelphia,Median Home Value,bg,29566,Feat\&PC-RGNN,0,0.841764705882353,0.8063380281690141,0.8063380281690141,0.926638062283737,0.892878397143424,0.8912294187661178
111,Philadelphia,Median Home Value,bg,29566,Feat\&PC-RGNN,1,0.8305882352941176,0.7869718309859155,0.8045774647887324,0.9270062283737024,0.8821786351914302,0.8855757786153541
112,Philadelphia,Median Home Value,bg,29566,Feat\&PC-RGNN,2,0.8805882352941177,0.7992957746478874,0.795774647887324,0.9492968858131486,0.8826745685379885,0.8873983336639556
113,Philadelphia,Median Home Value,bg,29566,Feat\&PC-RGNN,3,0.8852941176470588,0.8098591549295775,0.8169014084507042,0.9558463667820071,0.8924072604641935,0.8890225153739338
114,Philadelphia,Median Home Value,bg,29566,Feat\&PC-RGNN,4,0.8476470588235294,0.7887323943661971,0.8098591549295775,0.9343501730103807,0.8742932949811546,0.8977261456060306
115,Philadelphia,Median Home Value,bg,29566,Feat\&PC-RGNN,5,0.8641176470588235,0.829225352112676,0.7869718309859155,0.9373730103806228,0.8962879389010119,0.8721359849236263
116,Philadelphia,Median Home Value,bg,29566,Feat\&PC-RGNN,6,0.8458823529411764,0.8169014084507042,0.8116197183098591,0.9337134948096885,0.8826373735369967,0.8751983733386233
117,Philadelphia,Median Home Value,bg,29566,Feat\&PC-RGNN,7,0.8358823529411765,0.795774647887324,0.8221830985915493,0.9267266435986158,0.8897416187264432,0.9067025391787344
118,Philadelphia,Median Home Value,bg,29566,Feat\&PC-RGNN,8,0.86,0.8186619718309859,0.8028169014084507,0.9356775086505189,0.8997594723269193,0.8825505852013491
