,urban_area,target_variable,macroentity,n_quantiles,num_datapoints,num_macroentities,num_bg,model_embeddings,trial,train_f1,val_f1,test_f1,train_to_test_f1,train_auc,val_auc,test_auc,train_to_test_auc
1826,Indianapolis,Median Home Value,tract,2,5368,189,434,Feat\&PC-RGNN,6,0.9028877503493247,0.8864059590316573,0.8248847926267281,0.8847926267281107,0.9648395964811627,0.9480022918258212,0.8761494191849477,0.8847926267281105
1827,Indianapolis,Median Home Value,tract,2,5368,189,434,Feat\&PC-RGNN,7,0.9692594317652539,0.9581005586592178,0.8525345622119815,0.8847926267281107,0.9952321189519985,0.9909434682964094,0.8893796852768162,0.8847926267281105
1828,Indianapolis,Median Home Value,tract,2,5368,189,434,Feat\&PC-RGNN,8,0.9252445272473219,0.9236499068901304,0.8271889400921659,0.8847926267281107,0.9717852361828265,0.9663101604278075,0.8798870224468559,0.8847926267281105
1829,Indianapolis,Median Home Value,tract,2,5368,189,434,Feat\&PC-RGNN,9,0.9629715882626921,0.9478584729981379,0.8341013824884793,0.8847926267281107,0.9934781985083191,0.9888770053475936,0.8849306632122151,0.8847926267281105
1830,Indianapolis,Median Home Value,tract,2,5368,189,434,NoPreTrain,0,1.0,0.9590316573556797,0.8709677419354839,0.8847926267281107,1.0,0.9898968678380443,0.893892416487927,0.8847926267281105
1831,Indianapolis,Median Home Value,tract,2,5368,189,434,NoPreTrain,1,1.0,0.9664804469273743,0.880184331797235,0.8847926267281107,1.0,0.9910618792971734,0.9130794877784622,0.8847926267281105
1832,Indianapolis,Median Home Value,tract,2,5368,189,434,NoPreTrain,2,1.0,0.9599627560521415,0.880184331797235,0.8847926267281107,1.0,0.9892704354469061,0.8971203465777571,0.8847926267281105
1833,Indianapolis,Median Home Value,tract,2,5368,189,434,NoPreTrain,3,1.0,0.9636871508379888,0.8778801843317973,0.8847926267281107,1.0,0.9886764705882354,0.9020896600055215,0.8847926267281105
1834,Indianapolis,Median Home Value,tract,2,5368,189,434,NoPreTrain,4,1.0,0.9562383612662942,0.880184331797235,0.8847926267281107,1.0,0.9927081741787624,0.8970884920045021,0.8847926267281105
1835,Indianapolis,Median Home Value,tract,2,5368,189,434,NoPreTrain,5,1.0,0.9618249534450651,0.8709677419354839,0.8847926267281107,1.0,0.9905805958747136,0.9008473316485803,0.8847926267281105
1836,Indianapolis,Median Home Value,tract,2,5368,189,434,NoPreTrain,6,1.0,0.9534450651769087,0.880184331797235,0.8847926267281107,1.0,0.988538961038961,0.8940410711631167,0.8847926267281105
1837,Indianapolis,Median Home Value,tract,2,5368,189,434,NoPreTrain,7,1.0,0.9497206703910615,0.8755760368663594,0.8847926267281107,1.0,0.9912223071046602,0.8962178003355349,0.8847926267281105
1838,Indianapolis,Median Home Value,tract,2,5368,189,434,NoPreTrain,8,1.0,0.9692737430167597,0.880184331797235,0.8847926267281107,1.0,0.9931436210847975,0.9025143876489202,0.8847926267281105
1839,Indianapolis,Median Home Value,tract,2,5368,189,434,NoPreTrain,9,1.0,0.9683426443202979,0.8847926267281107,0.8847926267281107,1.0,0.9935561497326203,0.9129733058676124,0.8847926267281105
1840,Indianapolis,Median Age,tract,2,5834,193,463,Emb,0,1.0,0.925513698630137,0.7408207343412527,0.7494600431965442,1.0,0.977867581695777,0.757250027992386,0.7494308214832233
1841,Indianapolis,Median Age,tract,2,5834,193,463,Emb,1,1.0,0.9443493150684932,0.734341252699784,0.7494600431965442,1.0,0.9793208275309687,0.7624659425969469,0.7494308214832233
1842,Indianapolis,Median Age,tract,2,5834,193,463,Emb,2,1.0,0.9392123287671232,0.7537796976241901,0.7494600431965442,1.0,0.9802765111177857,0.7620087336244541,0.7494308214832233
1843,Indianapolis,Median Age,tract,2,5834,193,463,Emb,3,1.0,0.9443493150684932,0.7494600431965442,0.7494600431965442,1.0,0.9821924291656428,0.7523793528160342,0.7494308214832233
1844,Indianapolis,Median Age,tract,2,5834,193,463,Emb,4,1.0,0.952054794520548,0.7408207343412527,0.7494600431965442,1.0,0.9877884875017825,0.7546187437017132,0.7494308214832233
1845,Indianapolis,Median Age,tract,2,5834,193,463,Emb,5,1.0,0.9426369863013698,0.7451403887688985,0.7494600431965442,1.0,0.9802552737047453,0.7608517150001867,0.7494308214832233
1846,Indianapolis,Median Age,tract,2,5834,193,463,Emb,6,1.0,0.9511986301369864,0.7429805615550756,0.7494600431965442,1.0,0.9859924091417962,0.754786698018139,0.7494308214832233
1847,Indianapolis,Median Age,tract,2,5834,193,463,Emb,7,1.0,0.949486301369863,0.7386609071274298,0.7494600431965442,1.0,0.9847818765984945,0.7540495651849364,0.7494308214832233
1848,Indianapolis,Median Age,tract,2,5834,193,463,Emb,8,1.0,0.9315068493150684,0.7494600431965442,0.7494600431965442,1.0,0.9841750933687695,0.7716567760235882,0.7494308214832233
1849,Indianapolis,Median Age,tract,2,5834,193,463,Emb,9,1.0,0.9434931506849316,0.7429805615550756,0.7494600431965442,1.0,0.9834818435288085,0.7512503265778374,0.7494308214832233
1850,Indianapolis,Median Age,tract,2,5834,193,463,LightGCN,0,0.9783540505786541,0.9434931506849316,0.7257019438444925,0.7494600431965442,0.9966132883191143,0.9864050217380091,0.7539562572313665,0.7494308214832233
